acctno,actdt,deactdt,deactreason,goodcredit,rateplan,dealertype
1176913194483,1999-06-20,,,0,1,A1
1176914599423,1999-10-04,1999-10-15,NEED,1,1,A1
1176951913656,2000-07-01,,,0,1,A1
1176954000288,2000-05-30,,,1,2,A1
1176969186303,2000-12-13,,,1,1,C1
1176991056273,1999-08-31,2000-09-18,MOVE,1,1,C1
1176991866552,2000-05-24,,,1,1,A1
1176992889500,2000-11-28,,,1,1,C1
1177000067271,1999-12-23,,,0,1,B1
1177010940613,1999-12-09,,,1,2,A1
1177025997013,1999-11-09,,,1,1,A1
1177027515760,1999-10-19,,,1,1,B1
1177028996676,2000-09-21,,,0,1,C1
1177038747105,2000-03-14,,,0,1,C1
1177045857516,2000-06-22,,,1,1,A1
1177057406016,2000-09-21,,,0,1,C1
1177066422248,1999-04-26,2001-01-15,NEED,0,1,A2
1177089399155,2000-08-17,,,1,3,A1
1177113886410,2000-09-13,2001-01-08,COMP,0,1,C1
1177128264924,1999-12-10,,,1,1,B1
1177135400264,2000-12-09,,,0,1,A1
1177169300842,2000-03-24,,,0,3,B1
1177177440963,2000-02-15,,,0,1,B1
1177177784000,2000-07-30,,,1,1,B1
1177184144512,1999-10-11,,,1,1,A1
1177196331390,1999-12-20,,,0,3,A1
1177203297972,1999-08-12,2000-10-25,DEBT,0,2,C1
1177203378948,1999-07-20,,,1,1,B1
1177209563848,1999-12-10,,,1,1,C1
1177249679118,2000-04-10,,,1,1,A1
1177256861847,2000-12-29,,,1,2,A1
1177261979067,2000-03-22,,,1,3,A1
1177279064866,2000-06-13,,,1,1,B1
1177294235858,2000-05-13,,,0,3,A1
1177299075498,2000-11-01,,,1,1,B1
1177319424928,1999-06-25,,,1,1,C1
1177336294963,2000-10-20,,,0,3,A1
1177338366115,1999-09-22,,,1,1,B1
1177395382912,2000-08-26,,,0,1,A1
1177401117405,2000-09-18,,,1,1,A1
1177406549472,2000-11-22,,,1,1,C1
1177412041096,2000-06-15,,,1,1,A1
1177423618430,1999-10-29,,,1,3,B1
1177426871384,1999-03-09,,,1,3,A1
1177432792420,2000-09-01,2000-09-29,NEED,0,1,A1
1177453090112,2000-05-22,,,1,1,C1
1177456804316,2000-01-27,,,1,1,A1
1177464700972,1999-10-25,,,1,1,C1
1177466814429,2000-06-30,,,1,1,A1
1177480300455,1999-10-30,,,0,3,A1
1177480477788,1999-07-29,,,0,1,A1
1177496081471,2000-12-15,,,1,3,A2
1177497023415,1999-08-07,1999-12-06,DEBT,0,2,A1
1177501939692,2000-04-24,,,0,1,A1
1177514759648,2001-01-05,,,0,2,A1
1177518075069,2000-09-14,,,1,1,B1
1177541239793,2000-11-07,,,1,2,B1
1177554553368,2000-03-01,,,1,1,A1
1177555607322,1999-06-11,,,1,1,A2
1177572421698,2000-05-24,,,1,1,A1
1177645883158,1999-07-30,,,1,1,A1
1177646005214,2000-12-07,,,1,2,B1
1177661519690,1999-12-28,,,1,1,A1
1177715333598,1999-01-21,,,1,3,A1
1177721990352,2000-11-14,,,1,1,A1
1177770512666,1999-08-30,,,0,1,A1
1177801512252,1999-12-09,,,1,1,C1
1177819169343,1999-11-13,,,0,1,A1
1177824448048,1999-12-10,,,1,1,B1
1177835541207,1999-12-29,,,1,1,B1
1177839320703,2001-01-12,,,0,1,C1
1177857879538,1999-06-10,,,1,3,A1
1177860274415,1999-08-17,2000-04-25,TECH,1,1,B1
1177861956756,1999-01-30,2000-10-17,DEBT,1,2,B1
1177884241922,2000-04-14,,,0,1,A1
1177919982358,2000-05-01,,,0,1,C1
1177932300670,1999-05-22,,,1,3,A1
1177932659058,2000-08-03,,,1,2,A1
1177951971776,1999-02-13,,,1,3,B1
1177955179128,1999-07-15,,,1,3,A1
1177962876915,2000-08-19,,,1,1,B1
1177969301232,2000-11-29,,,1,1,B1
1178002489758,2000-11-11,,,0,1,A2
1178003739198,2001-01-15,,,1,2,A2
1178018269368,1999-11-26,2000-11-09,DEBT,0,1,A2
1178036508822,1999-12-09,,,1,1,C1
1178067369672,1999-02-11,,,1,1,A1
1178077688934,1999-12-11,2000-03-21,MOVE,1,1,A1
1178096813021,1999-10-16,,,0,1,C1
1178107944905,2000-08-29,,,0,2,A1
1178120653566,2000-09-30,,,0,2,B1
1178124178428,2000-03-16,,,1,1,C1
1178149988102,2000-09-01,,,1,2,A2
1178174455796,2000-12-12,,,0,2,B1
1178192806029,1999-07-26,,,1,1,B1
1178198047514,2000-04-11,2000-10-13,MOVE,0,1,B1
1178219232636,1999-09-21,,,0,1,A1
1178223823545,2000-07-08,,,1,1,A1
1178250411790,2000-07-18,,,0,3,B1
1178271001986,2000-05-03,,,1,2,A1
1178292852384,2000-08-10,,,1,1,C1
1178299733514,1999-12-11,,,1,1,A1
1178302673724,2000-06-26,2000-07-27,NEED,0,1,A1
1178320509516,1999-07-26,,,0,1,C1
1178368953828,2000-02-26,,,0,1,A2
1178444177278,2001-01-14,,,1,2,A2
1178452384240,1999-12-30,,,1,2,B1
1178454801138,1999-12-08,,,1,1,A1
1178456910555,1999-06-02,,,1,1,A1
1178466356871,2000-04-27,,,0,1,C1
1178500229059,2000-11-13,,,0,2,C1
1178519804451,2000-12-29,,,1,2,A2
1178522878410,2000-12-22,,,1,2,B1
1178573572489,2000-07-10,,,1,1,B1
1178575307217,2000-04-27,,,1,3,A1
1178591077408,1999-11-12,2001-01-04,MOVE,0,2,A1
1178594899174,2000-12-19,,,1,2,A2
1178610532889,2000-03-14,,,1,1,B1
1178622092361,1999-12-23,,,1,1,A1
1178625353010,1999-12-16,,,1,1,C1
1178649679074,1999-12-20,,,1,1,B1
1178664512312,2000-09-20,,,0,1,C1
1178667554619,2000-07-06,,,1,1,A1
1178679720488,1999-08-05,,,0,1,C1
1178710784880,1999-04-12,,,1,1,A2
1178713244688,2000-05-30,,,1,1,B1
1178719467837,2000-12-05,,,0,1,A1
1178738584230,2000-06-10,2000-11-21,TECH,1,1,A1
1178751563358,1999-11-18,,,1,1,A2
1178779771288,1999-04-26,,,1,3,A1
1178791504362,1999-12-08,2000-10-19,DEBT,0,1,B1
1178794373178,2000-07-24,,,1,1,A1
1178802940504,1999-04-28,,,0,3,A1
1178812815133,2001-01-08,,,1,2,A1
1178813914638,2000-01-25,2001-01-03,NEED,1,1,A1
1178830139262,1999-11-23,,,1,1,A1
1178890019016,2000-01-07,2000-10-23,COMP,1,1,B1
1178890905651,2000-12-23,,,1,2,A2
1178898167598,1999-05-18,1999-11-16,NEED,0,1,A1
1178903004312,1999-11-20,,,1,2,A1
1178934937068,2000-08-12,,,1,2,A1
1178938031136,1999-07-08,,,1,1,A1
1178960644886,2000-07-07,2000-10-19,TECH,0,1,A1
1178969385678,1999-07-28,,,1,1,A2
1178970746703,2000-04-15,,,1,1,B1
1178974857993,1999-12-29,,,1,1,A1
1179005546976,2001-01-17,,,1,2,A1
1179019844326,2000-12-10,,,0,1,A1
1179039338529,2000-11-17,,,1,1,A1
1179046057540,1999-09-11,2000-06-15,TECH,1,3,A1
1179081431973,1999-08-29,,,1,1,A1
1179102990897,1999-12-23,2000-07-25,TECH,1,1,A2
1179112634373,2000-08-13,,,1,2,A1
1179122420400,2000-02-06,,,1,1,A1
1179167799202,2000-12-10,,,0,2,A1
1179175227975,2000-08-11,2001-01-15,DEBT,1,3,A1
1179178171470,2000-09-28,2000-10-18,NEED,0,1,C1
1179181160448,1999-06-29,,,1,2,A1
1179189490464,2000-06-15,,,0,1,B1
1179190340232,2000-12-20,,,1,1,B1
1179225393594,1999-08-06,,,1,1,C1
1179234901996,2000-08-21,,,0,1,A1
1179239582508,2000-07-08,,,0,1,B1
1179253743480,1999-11-20,2000-05-13,NEED,1,1,B1
1179263181546,2000-02-01,2000-10-29,MOVE,0,1,A1
1179265286652,1999-02-17,,,0,1,A1
1179297066380,2000-05-02,,,0,1,C1
1179321874056,1999-08-10,,,1,1,A1
1179334400985,2000-08-31,,,1,1,A1
1179346576807,2000-12-07,2001-01-05,NEED,1,1,C1
1179355156227,1999-03-06,1999-10-22,NEED,1,3,A1
1179364763574,1999-10-12,,,1,3,A1
1179365893498,2000-11-16,,,1,1,A1
1179371766111,1999-02-02,,,1,3,A1
1179420828256,1999-08-23,2000-06-02,NEED,1,1,C1
1179424941858,2000-05-15,,,1,2,A1
1179469941373,1999-08-27,2000-12-20,DEBT,0,2,B1
1179488949432,2000-09-03,,,0,1,A2
1179541169992,2000-08-30,,,1,1,C1
1179552549264,1999-08-16,,,1,2,B1
1179556753404,1999-05-22,,,1,1,B1
1179602631610,2000-01-08,,,1,3,A1
1179613359177,1999-12-29,,,0,2,C1
1179615845464,2001-01-09,,,1,1,A1
1179625791270,1999-08-13,2000-10-24,DEBT,0,1,A1
1179628801748,1999-12-18,,,0,1,B1
1179633338890,2000-07-10,,,0,1,A1
1179634484913,2000-03-10,2000-04-24,COMP,1,1,C1
1179637889838,2001-01-10,,,1,2,B1
1179661839653,1999-03-12,,,0,1,A1
1179666342084,1999-05-24,,,0,3,A1
1179673262589,1999-07-08,1999-07-20,,1,1,C1
1179693746656,1999-12-06,,,1,1,A1
1179696953793,2000-12-21,,,1,2,A1
1179740406480,1999-07-21,2000-12-28,DEBT,0,1,A1
1179748328061,1999-05-05,,,1,1,A1
1179748875558,2000-07-11,,,1,1,A1
1179796679049,1999-12-19,2000-05-16,NEED,0,1,A2
1179811464633,1999-11-27,,,1,2,B1
1179833117688,2000-11-06,,,1,1,A1
1179847084928,1999-12-18,,,1,1,B1
1179851152107,2000-11-05,,,1,1,A1
1179857037066,2000-09-16,,,1,2,A1
1179869960246,2000-06-01,,,0,1,B1
1179889101002,2000-07-07,,,1,1,B1
1179896133058,2000-04-25,2000-10-05,DEBT,1,3,A1
1179904092288,1999-09-01,,,1,1,A1
1179932078888,1999-07-31,,,0,1,A1
1179938243476,2000-10-16,,,1,2,C1
1179944184320,2000-12-12,,,0,3,A1
1179951655730,1999-12-16,2000-06-21,TECH,1,3,A1
1179959358426,2000-09-06,,,1,1,A1
1179960466560,1999-07-14,,,0,3,A1
1179983666137,1999-08-17,,,1,1,C1
1179993357960,2000-01-10,,,1,3,A1
1180009827916,1999-11-10,1999-11-11,NEED,1,1,A1
1180049389260,2000-12-04,,,1,2,A1
1180060678515,2000-04-01,2001-01-17,COMP,0,1,A1
1180062125064,1999-07-31,,,1,1,A1
1180070892838,2000-07-24,,,1,1,A1
1180112118852,2000-01-03,,,0,1,A1
1180121115678,2000-04-18,,,1,2,C1
1180124895718,2000-04-10,2000-08-22,NEED,1,1,A1
1180150580873,2000-10-02,,,0,1,B1
1180160210368,2000-06-19,,,1,3,A1
1180162390452,2000-09-15,,,1,1,A1
1180163161473,2000-10-12,,,0,1,C1
1180180179924,2000-12-14,,,0,2,C1
1180217359936,1999-04-22,,,1,3,A1
1180241489964,2000-06-20,,,1,1,B1
1180254721650,1999-01-30,2000-10-11,DEBT,1,1,A1
1180259337300,1999-12-08,,,0,3,A1
1180263176322,2000-03-04,2000-09-30,MOVE,1,3,A1
1180275859608,1999-12-02,,,1,1,B1
1180324699033,1999-10-28,2001-01-02,COMP,1,1,A2
1180362667608,2000-01-02,,,1,1,A1
1180438893728,2000-03-03,,,1,1,A1
1180482457098,2000-06-29,,,1,1,C1
1180486811774,2000-12-03,,,1,2,A1
1180487923155,2000-01-22,,,1,1,A1
1180489859034,2001-01-19,,,1,1,C1
1180508598672,2000-02-03,,,1,1,A1
1180520683440,1999-08-31,,,1,1,C1
1180537246555,1999-11-15,,,0,1,A1
1180543753861,1999-09-16,2000-09-19,NEED,1,1,B1
1180551839152,1999-08-30,,,1,1,A1
1180558673214,1999-06-23,,,1,1,C1
1180570589733,2000-11-11,,,1,1,B1
1180609071128,2000-04-08,,,1,1,B1
1180613368992,1999-08-02,,,1,1,B1
1180615765772,1999-08-03,,,0,1,B1
1180616762023,2000-01-06,,,1,1,A1
1180629656262,1999-08-26,,,1,1,A1
1180641814560,1999-09-09,,,1,3,A1
1180656236208,1999-12-22,2000-08-28,MOVE,0,1,C1
1180661842444,2000-01-02,2000-12-08,TECH,0,1,A1
1180665667323,2000-03-16,,,1,2,A1
1180672934220,1999-12-23,2000-09-25,NEED,1,2,A2
1180682978778,2000-08-08,,,0,1,A1
1180726261468,1999-12-16,,,0,2,A2
1180732427325,2000-01-28,,,1,3,C1
1180766820758,2000-11-25,,,1,2,A1
1180782536769,2000-02-11,2000-11-06,NEED,0,1,C1
1180787046607,1999-06-28,,,1,2,A1
1180794927408,2000-11-11,,,1,1,B1
1180837933376,2000-11-30,,,1,2,A1
1180843291488,2000-05-22,,,1,1,A2
1180863307508,2000-11-03,,,1,2,C1
1180874643111,2001-01-04,,,1,2,C1
1180880089149,1999-07-06,,,0,1,A1
1180900187160,2000-07-27,,,1,1,A1
1180908759252,1999-04-22,,,1,1,A1
1180921687560,1999-12-08,,,1,1,A1
1180931185065,2000-05-11,,,1,1,A1
1180935543418,1999-12-27,,,0,2,A1
1180955104458,1999-09-03,1999-12-27,NEED,1,3,B1
1180959035427,2000-10-20,,,1,1,A1
1180960674034,2000-04-22,,,0,2,A1
1180964381112,2000-11-02,,,0,2,A1
